"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-01","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-02","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-03","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-04","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-05","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-06","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-07","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-08","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-09","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-10","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-11","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-12","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-13","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-14","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-15","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-16","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-17","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-18","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-19","0.11",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-20","0.03",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-21","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-22","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-23","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-24","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-25","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-26","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-27","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-28","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-29","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-30","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-01-31","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-01","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-02","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-03","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-04","0.43",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-05","0.21",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-06","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-07","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-08","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-09","0.30",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-10","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-11","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-12","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-13","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-14","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-15","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-16","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-17","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-18","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-19","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-20","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-21","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-22","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-23","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-24","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-25","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-26","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-27","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-28","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-02-29","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-01","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-02","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-03","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-04","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-05","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-06","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-07","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-08","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-09","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-10","0.70",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-11","0.68",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-12","0.64",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-13","0.57",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-14","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-15","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-16","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-17","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-18","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-19","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-20","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-21","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-22","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-23","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-24","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-25","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-26","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-27","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-28","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-29","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-30","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-03-31","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-01","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-02","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-03","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-04","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-05","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-06","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-07","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-08","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-09","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-10","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-11","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-12","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-13","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-14","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-15","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-16","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-17","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-18","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-19","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-20","0.10",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-21","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-22","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-23","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-24","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-25","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-26","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-27","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-28","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-29","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-04-30","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-01","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-02","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-03","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-04","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-05","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-06","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-07","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-08","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-09","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-10","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-11","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-12","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-13","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-14","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-15","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-16","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-17","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-18","0.00",",,I"
